rcept_no,reprt_code,bsns_year,corp_code,stock_code,thstrm_amount_연결재무제표_재무상태표_유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자산총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_부채총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_이익잉여금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본총계_2022.12.31 현재,thstrm_amount_연결재무제표_손익계산서_매출액_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_영업이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_법인세차감전 순이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_당기순이익_2022.01.01 ~ 2022.12.31
20230320000295,11011,2022,274933,31440,"337,903,939,358","566,023,300,699","903,927,240,057","317,890,250,765","293,968,065,135","611,858,315,900","19,362,400,000","204,714,444,520","292,068,924,157","1,411,305,169,297","20,577,349,768","-4,859,422,816","-5,384,404,410"
20230321001420,11011,2022,1489648,357780,"458,877,300,878","476,029,916,680","934,907,217,558","127,596,015,859","8,071,889,669","135,667,905,528","3,889,283,000","344,289,660,450","799,239,312,030","1,090,867,446,512",,,"167,672,934,020"
20230323000821,11011,2022,105156,14530,"169,686,700,343","183,389,346,431","353,076,046,774","127,554,547,499","20,204,588,583","147,759,136,082","17,434,710,000","179,653,753,434","205,316,910,692","1,242,475,835,454","30,590,826,516","26,370,746,670","20,430,242,683"
20230323000407,11011,2022,351630,53450,"145,234,062,850","157,112,413,896","302,346,476,746","153,279,384,093","38,665,037,488","191,944,421,581","7,396,401,500","46,675,706,845","110,402,055,165","479,616,173,505","6,155,839,009","-670,191,739","-2,164,115,453"
20230316001574,11011,2022,1262032,286940,"366,285,909,491","505,645,612,120","871,931,521,611","277,820,826,605","140,159,474,951","417,980,301,556","76,981,655,000","126,373,668,471","453,951,220,055","1,047,704,877,833","34,251,438,232","36,254,944,453","28,385,062,388"
20230322001140,11011,2022,867098,117730,"44,288,672,739","43,226,185,057","87,514,857,796","43,054,800,623","20,321,549,331","63,376,349,954","7,115,248,500","-17,557,618,892","24,138,507,842","56,729,389,196","-2,339,634,861","-1,387,333,774","-1,312,960,041"
20230317000704,11011,2022,568461,225530,"53,247,469,023","92,732,892,627","145,980,361,650","23,429,999,387","33,625,616,887","57,055,616,274","18,169,363,500","61,235,166,984","88,924,745,376","87,471,227,933","15,372,295,022","15,548,689,551","12,074,741,153"
20230322000689,11011,2022,1335578,310200,"54,351,714,981","87,180,099,073","141,531,814,054","43,190,243,384","17,818,319,683","61,008,563,067","4,164,626,300","21,301,398,856","80,523,250,987","58,131,424,584","9,626,892,101","6,162,635,974","5,446,041,060"
20230320000330,11011,2022,450010,308170,"108,433,064,786","188,934,122,718","297,367,187,504","143,795,718,692","49,723,194,013","193,518,912,705","4,305,000,000","77,823,741,219","103,848,274,799","423,096,556,243","-736,093,949","-4,692,632,602","1,128,714,129"
20230323001234,11011,2022,365989,70960,"136,438,734,752","731,847,129,435","868,285,864,187","237,587,420,373","252,990,966,669","490,578,387,042","240,666,665,000","117,314,143,962","377,707,477,145","143,314,957,207","1,552,325,492","-12,983,265,323","-12,121,469,923"
